Date,Open,High,Low,Close,Volume,Adj Close
2001-02-16,53.40,54.95,53.37,54.00,1120400,384.14
2001-02-15,53.90,54.70,53.56,54.07,981500,384.64
2001-02-14,54.70,54.84,53.50,53.65,1077000,381.65
2001-02-13,55.50,55.96,54.25,54.59,1085900,388.34
2001-02-12,54.05,55.50,54.03,55.45,788800,394.45
2001-02-09,54.45,54.50,53.50,54.05,1129400,384.49
2001-02-08,54.75,54.97,53.75,54.10,972000,384.85
2001-02-07,55.65,55.69,54.06,54.36,1011900,386.70
2001-02-06,56.30,56.30,55.00,55.13,892800,392.18
2001-02-05,56.20,56.50,55.51,56.30,896000,400.50
2001-02-02,56.11,56.69,55.00,55.46,865400,394.53
2001-02-01,55.75,56.60,55.53,56.11,1031100,399.15
2001-01-31,56.70,56.99,55.20,55.97,1559000,397.16
2001-01-30,56.50,56.54,55.51,56.20,1210200,398.79
2001-01-29,55.70,56.40,55.40,56.20,948200,398.79
2001-01-26,55.38,55.75,54.56,55.19,1237100,391.60
2001-01-25,56.00,56.63,54.50,55.31,1262100,392.49
2001-01-24,55.19,56.31,54.56,55.81,1573500,396.04
2001-01-23,54.25,55.44,53.81,54.88,1174800,389.39
2001-01-22,54.69,55.25,53.00,53.88,1570900,382.29
2001-01-19,54.25,54.88,54.00,54.38,1209900,385.84
2001-01-18,53.94,54.25,53.38,54.25,1414600,384.95
2001-01-17,54.50,54.94,53.06,53.81,1350400,381.85
2001-01-16,52.56,54.88,52.00,54.69,1479100,388.06
2001-01-12,54.75,54.81,52.31,53.13,1345900,376.97
2001-01-11,54.00,55.31,53.75,55.00,1390300,390.27
2001-01-10,52.06,54.38,51.88,53.94,1526400,382.73
2001-01-09,53.38,53.81,52.13,52.19,1328900,370.32
2001-01-08,53.63,54.13,52.75,53.38,1213800,378.74
2001-01-05,55.25,55.56,52.50,53.69,2292600,380.96
2001-01-04,55.13,57.38,54.94,55.69,2825900,395.15
2001-01-03,50.50,55.00,50.38,54.94,3399100,389.83
2001-01-02,51.75,51.88,50.06,50.50,1324600,358.34
2000-12-29,51.75,52.19,51.00,51.06,931400,362.33
2000-12-28,51.56,52.06,51.06,51.25,978900,363.66
2000-12-27,49.81,51.25,49.81,50.88,899100,361.00
2000-12-26,50.94,51.44,50.69,50.94,725700,361.45
2000-12-22,49.69,50.38,48.88,50.06,1007600,355.24
2000-12-21,47.88,49.50,47.25,48.75,1567100,345.92
2000-12-20,49.63,50.00,47.69,48.00,1608000,340.60
2000-12-19,49.44,51.00,49.00,50.25,2484700,356.57
2000-12-18,49.25,50.31,49.19,49.38,1700900,350.36
2000-12-15,49.81,50.75,48.06,48.06,2604500,341.05
2000-12-14,51.38,51.94,50.38,50.75,1342700,360.12
2000-12-13,53.00,53.69,51.69,53.00,1227400,376.08
2000-12-12,52.69,52.81,51.63,52.63,1138300,373.42
2000-12-11,52.44,53.25,52.00,52.88,1349600,375.20
2000-12-08,50.44,52.44,50.44,51.50,1343700,365.44
2000-12-07,48.50,50.56,48.38,49.75,957800,353.02
2000-12-06,50.88,52.56,48.75,49.75,2296200,353.02
2000-12-05,48.81,51.00,47.94,50.75,1797800,360.12
2000-12-04,48.44,48.75,46.75,47.81,1669600,339.27
2000-12-01,50.88,51.25,48.50,48.94,1325200,347.26
2000-11-30,49.13,50.69,48.06,49.81,2204000,353.46
2000-11-29,48.13,49.81,47.63,49.44,1129100,350.80
2000-11-28,47.44,48.94,47.06,47.63,1229200,337.94
2000-11-27,48.13,48.38,47.31,47.44,1112000,336.61
2000-11-24,48.19,48.25,47.31,47.31,493600,335.72
2000-11-22,48.31,48.56,46.50,47.06,1367500,333.95
2000-11-21,49.06,49.38,47.13,49.13,1845800,348.59
2000-11-20,51.44,51.81,49.19,49.38,1131600,350.36
2000-11-17,51.56,52.81,50.63,51.11,1210400,362.67
2000-11-16,50.19,52.19,50.00,51.69,991000,366.77
2000-11-15,50.25,51.81,49.69,50.19,1240100,356.13
2000-11-14,51.06,52.13,50.06,50.75,1108100,360.12
2000-11-13,50.25,51.13,48.63,50.50,1419700,358.34
2000-11-10,52.25,53.31,51.50,51.50,972400,365.44
2000-11-09,52.63,53.38,51.50,52.69,1295700,373.86
2000-11-08,54.50,54.56,52.81,53.06,1105100,376.53
2000-11-07,54.88,55.81,54.56,54.75,709300,388.50
2000-11-06,54.75,55.56,54.56,54.88,1012400,389.39
2000-11-03,53.88,54.19,52.94,53.94,977900,382.73
2000-11-02,52.50,54.13,52.13,53.06,1228200,376.53
2000-11-01,52.00,52.69,50.94,51.69,1194300,365.78
2000-10-31,52.13,53.00,51.88,52.63,1123300,372.41
2000-10-30,50.31,52.38,50.25,51.56,928600,364.89
2000-10-27,49.94,50.88,49.25,50.25,1303100,355.60
2000-10-26,50.88,51.31,47.50,49.00,1508900,346.76
2000-10-25,51.94,53.38,50.25,50.63,1073400,358.26
2000-10-24,51.19,52.38,50.94,51.69,1043800,365.78
2000-10-23,51.13,51.75,49.81,50.44,821700,356.93
2000-10-20,51.25,52.69,50.75,50.94,1032400,360.47
2000-10-19,50.69,51.94,50.44,51.31,1150900,363.12
2000-10-18,45.19,50.75,44.50,49.56,2100000,350.74
2000-10-17,51.81,52.75,48.31,49.38,1523600,349.41
2000-10-16,49.38,51.25,48.75,50.81,1213500,359.58
2000-10-13,46.75,50.50,46.75,49.81,1576900,352.51
2000-10-12,49.00,49.44,45.00,46.75,2853300,330.83
2000-10-11,50.06,50.44,48.19,49.50,2250900,350.30
2000-10-10,52.63,52.75,50.00,51.00,1712600,360.91
2000-10-09,53.44,53.69,52.31,52.63,630000,372.41
2000-10-06,56.69,56.69,52.56,53.50,1471200,378.60
2000-10-05,54.75,56.50,54.75,56.13,1147100,397.18
2000-10-04,56.13,56.75,54.00,54.75,1398100,387.45
2000-10-03,55.56,57.13,55.50,56.88,1459200,402.49
2000-10-02,54.06,55.44,53.56,55.38,1112600,391.87
2000-09-29,54.50,54.94,53.44,54.06,1212600,382.58
