Date,Open,High,Low,Close,Volume,Adj Close
2008-12-30,4754.22,4810.41,4754.22,4810.2,17827700,4810.2
2008-12-29,4660.17,4732.85,4655.91,4704.86,20457100,4704.86
2008-12-26,4629.38,4629.38,4629.38,4629.38,0,4629.38
2008-12-24,4629.38,4629.38,4629.38,4629.38,0,4629.38
2008-12-23,4633.47,4718.6,4622.97,4629.38,21536000,4629.38
2008-12-22,4693.66,4701.11,4575.52,4639.02,32497000,4639.02
2008-12-19,4720.88,4785.32,4647.13,4696.7,87818300,4696.7
2008-12-18,4730.1,4784.72,4715.82,4756.4,34335200,4756.4
2008-12-17,4768.71,4784.41,4639.17,4708.38,39191400,4708.38
2008-12-16,4663.36,4758.27,4655.87,4729.91,32518700,4729.91
2008-12-15,4718.39,4773.32,4627.46,4654.82,25688900,4654.82
2008-12-12,4660.05,4699.06,4521.52,4663.37,37114100,4663.37
2008-12-11,4791.56,4822.21,4710.04,4767.2,31584000,4767.2
2008-12-10,4810.48,4839.14,4742.9,4804.88,31974500,4804.88
2008-12-09,4673.52,4850.39,4622.24,4779.11,39562600,4779.11
2008-12-08,4548.87,4775.71,4548.87,4715.88,47616100,4715.88
2008-12-05,4529.2,4530.7,4321.64,4381.47,40519500,4381.47
2008-12-04,4559.98,4732.93,4491.86,4564.23,39370800,4564.23
2008-12-03,4508.88,4602.88,4377.63,4567.24,35243400,4567.24
2008-12-02,4349.13,4572.18,4304.03,4531.79,38445500,4531.79
2008-12-01,4653.12,4667.91,4367.92,4394.79,34897100,4394.79
2008-11-28,4666.41,4703.67,4566.84,4669.44,34642600,4669.44
2008-11-27,4596.4,4682.91,4589.16,4665.27,29028900,4665.27
2008-11-26,4528.55,4612.22,4423.67,4560.5,36549800,4560.5
2008-11-25,4521.85,4693.1,4455.3,4560.42,54244000,4560.42
2008-11-24,4167.71,4579.07,4154.55,4554.33,52198700,4554.33
2008-11-21,4228.31,4296.86,4034.96,4127.41,48665100,4127.41
2008-11-20,4274.98,4313.16,4113.49,4220.2,46662800,4220.2
2008-11-19,4586.33,4586.69,4337.92,4354.09,42770800,4354.09
2008-11-18,4556.48,4607.54,4445.88,4579.47,34312400,4579.47
2008-11-17,4700.5,4733.79,4512.21,4557.27,35035900,4557.27
2008-11-14,4723.29,4874.16,4695.79,4710.24,38730300,4710.24
2008-11-13,4599.64,4713.78,4524.89,4649.52,37923700,4649.52
2008-11-12,4801.9,4875.66,4555.44,4620.8,41645100,4620.8
2008-11-11,4984.32,4984.32,4742.48,4761.58,41020200,4761.58
2008-11-10,5024.43,5135.15,4998.04,5025.53,33949100,5025.53
2008-11-07,4827.56,5018.41,4751.24,4938.46,41288500,4938.46
2008-11-06,5101.98,5101.98,4781.51,4813.57,55996400,4813.57
2008-11-05,5268.8,5271.91,5142.85,5166.87,49048500,5166.87
2008-11-04,5018.83,5302.57,4993.1,5278.04,58418400,5278.04
2008-11-03,5053.94,5089.54,4967.94,5026.84,52401500,5026.84
2008-10-31,4856.02,5066.81,4785.11,4987.97,88164000,4987.97
2008-10-30,4894.14,5042.49,4827.27,4869.3,97704600,4869.3
2008-10-29,4460.26,4885.85,4460.26,4808.69,137350100,4808.69
2008-10-28,4314.91,4823.45,4314.91,4823.45,197821900,4823.45
2008-10-27,4143.45,4486.13,4062.77,4334.64,106305600,4334.64
2008-10-24,4362.79,4362.93,4014.6,4295.67,73730000,4295.67
2008-10-23,4559.71,4576.87,4364.2,4519.7,55792400,4519.7
2008-10-22,4739.74,4740.31,4535.64,4571.07,51717600,4571.07
2008-10-21,4882.8,4909.64,4736.22,4784.41,54622000,4784.41
2008-10-20,4891.76,4941.19,4754.27,4835.01,59387000,4835.01
2008-10-17,4757.98,4835.9,4576.58,4781.33,96654000,4781.33
2008-10-16,4675.9,4890.78,4521.91,4622.81,87902300,4622.81
2008-10-15,5187.39,5192.13,4790.68,4861.63,77537800,4861.63
2008-10-14,5135.14,5383.79,5095.12,5199.19,82479300,5199.19
2008-10-13,4642.02,5062.45,4641.38,5062.45,89614400,5062.45
2008-10-10,4594.53,4653.98,4308,4544.31,116733400,4544.31
2008-10-09,5054.9,5153.53,4803.62,4887,78567600,4887
2008-10-08,5237.11,5319.15,4870.2,5013.62,114129100,5013.62
2008-10-07,5450.38,5502.33,5300.3,5326.63,118853000,5326.63
2008-10-06,5606.07,5606.07,5292.84,5387.01,0,5387.01
2008-10-03,5682.33,5831.97,5617.81,5797.03,61616600,5797.03
2008-10-02,5794.1,5876.93,5630.46,5660.63,71214200,5660.63
2008-10-01,5865.08,5866.4,5746.82,5806.33,62386300,5806.33
2008-09-30,5728.3,5836.77,5658.2,5831.02,79738600,5831.02
2008-09-29,6010.1,6015.59,5802.51,5807.08,76422200,5807.08
