Date,Open,High,Low,Close,Volume,Adj Close
2001-02-16,10.70,10.83,10.53,10.68,225700,4.46
2001-02-15,10.70,10.95,10.68,10.74,289800,4.49
2001-02-14,10.85,10.85,10.51,10.70,151300,4.47
2001-02-13,11.02,11.13,10.81,10.97,243100,4.58
2001-02-12,11.01,11.17,11.00,11.06,382600,4.62
2001-02-09,10.74,10.87,10.72,10.77,185300,4.50
2001-02-08,11.01,11.01,10.71,10.76,629100,4.50
2001-02-07,10.88,11.06,10.79,11.06,167500,4.62
2001-02-06,10.80,10.92,10.65,10.92,179600,4.56
2001-02-05,11.06,11.14,10.80,11.04,283800,4.61
2001-02-02,11.10,11.10,10.80,10.91,184100,4.56
2001-02-01,11.12,11.37,11.11,11.28,262500,4.71
2001-01-31,10.86,11.22,10.83,10.91,168800,4.56
2001-01-30,10.74,10.90,10.66,10.71,192200,4.47
2001-01-29,10.76,10.80,10.45,10.74,359900,4.49
2001-01-26,11.00,11.62,11.00,11.56,839100,4.83
2001-01-25,11.31,11.44,11.19,11.31,195600,4.70
2001-01-24,11.19,11.44,11.12,11.44,129600,4.75
2001-01-23,11.00,11.44,11.00,11.44,168900,4.75
2001-01-22,11.12,11.12,10.94,11.06,74700,4.60
2001-01-19,11.06,11.25,10.88,11.19,318700,4.65
2001-01-18,11.50,11.94,11.50,11.94,386800,4.96
2001-01-17,11.38,11.44,11.25,11.38,226100,4.73
2001-01-16,11.25,11.50,11.19,11.44,174100,4.75
2001-01-12,11.44,11.56,11.31,11.31,483800,4.70
2001-01-11,11.25,11.56,11.25,11.44,507200,4.75
2001-01-10,11.25,11.25,11.12,11.25,114000,4.67
2001-01-09,11.06,11.25,10.88,11.25,238600,4.67
2001-01-08,11.19,11.38,11.19,11.38,533700,4.73
2001-01-05,11.31,11.31,11.06,11.25,1620200,4.67
2001-01-04,11.06,11.19,10.88,10.94,485200,4.54
2001-01-03,10.50,11.00,10.31,11.00,488800,4.57
2001-01-02,10.56,10.75,10.31,10.62,219300,4.41
2000-12-29,10.38,10.62,10.38,10.56,175800,4.39
2000-12-28,10.12,10.25,10.12,10.25,123900,4.26
2000-12-27,10.06,10.19,10.00,10.12,108400,4.21
2000-12-26,9.81,10.00,9.81,10.00,86100,4.16
2000-12-22,9.75,10.00,9.62,10.00,219700,4.16
2000-12-21,9.56,9.69,9.50,9.69,185300,4.03
2000-12-20,9.50,9.56,9.19,9.19,162700,3.82
2000-12-19,9.50,9.69,9.50,9.56,271800,3.97
2000-12-18,9.38,9.50,9.25,9.31,114400,3.87
2000-12-15,9.56,9.62,9.31,9.50,288400,3.95
2000-12-14,9.62,9.81,9.56,9.62,114600,4.00
2000-12-13,9.88,9.88,9.69,9.69,164700,4.03
2000-12-12,9.94,10.12,9.62,9.75,367700,4.05
2000-12-11,9.75,10.00,9.75,9.81,179600,4.08
2000-12-08,9.44,9.69,9.31,9.56,83800,3.97
2000-12-07,9.44,9.56,9.38,9.44,156800,3.92
2000-12-06,9.25,9.38,9.00,9.25,472300,3.84
2000-12-05,8.94,9.25,8.88,9.25,211100,3.84
2000-12-04,8.88,8.88,8.62,8.81,118900,3.66
2000-12-01,8.81,9.00,8.81,8.94,229200,3.71
2000-11-30,8.94,9.00,8.62,8.75,98500,3.64
2000-11-29,8.88,9.12,8.75,9.06,170600,3.77
2000-11-28,8.81,8.88,8.62,8.75,226900,3.64
2000-11-27,8.88,9.00,8.62,8.81,302400,3.66
2000-11-24,8.88,9.00,8.69,8.94,588400,3.71
2000-11-22,8.69,8.94,8.38,8.38,321900,3.48
2000-11-21,8.50,8.75,8.44,8.69,897500,3.61
2000-11-20,9.12,9.12,8.50,8.56,2124500,3.56
2000-11-17,9.81,9.88,9.44,9.50,56000,3.95
2000-11-16,9.81,9.88,9.75,9.88,88000,4.10
2000-11-15,10.19,10.19,9.88,10.00,136900,4.16
2000-11-14,9.94,10.25,9.88,10.19,224700,4.23
2000-11-13,9.56,9.69,9.50,9.69,113400,4.03
2000-11-10,9.81,9.81,9.50,9.81,56500,4.08
2000-11-09,9.88,9.88,9.62,9.75,97900,4.05
2000-11-08,10.19,10.25,9.81,9.88,197700,4.10
2000-11-07,10.12,10.19,10.05,10.12,326200,4.21
2000-11-06,10.06,10.25,10.00,10.06,132500,4.18
2000-11-03,10.31,10.50,9.88,10.25,179600,4.26
2000-11-02,10.12,10.25,10.06,10.19,220800,4.23
2000-11-01,10.12,10.12,9.75,9.81,258300,4.08
2000-10-31,9.69,10.19,9.69,10.19,397400,4.23
2000-10-30,9.50,9.62,9.31,9.56,128600,3.97
2000-10-27,9.12,9.56,9.06,9.56,130500,3.97
2000-10-26,9.31,9.44,8.81,9.44,279800,3.92
2000-10-25,9.62,9.88,9.44,9.50,81900,3.92
2000-10-24,9.75,9.94,9.69,9.88,149200,4.08
2000-10-23,9.69,9.69,9.56,9.69,71900,4.00
2000-10-20,9.88,10.00,9.56,9.81,265400,4.05
2000-10-19,9.56,9.88,9.56,9.81,119600,4.05
2000-10-18,9.44,9.62,9.19,9.50,381200,3.92
2000-10-17,9.88,10.00,9.69,9.75,75000,4.03
2000-10-16,9.81,9.88,9.50,9.75,109700,4.03
2000-10-13,9.62,9.94,9.50,9.88,128100,4.08
2000-10-12,10.06,10.12,9.69,9.69,364400,4.00
2000-10-11,10.38,10.38,9.88,10.06,840600,4.16
2000-10-10,10.50,10.62,10.44,10.56,106100,4.36
2000-10-09,10.44,10.50,10.25,10.44,90300,4.31
2000-10-06,10.81,10.94,10.50,10.62,145100,4.39
2000-10-05,10.81,10.94,10.75,10.81,231700,4.47
2000-10-04,10.75,10.81,10.62,10.75,108000,4.44
2000-10-03,10.81,10.94,10.81,10.88,425600,4.49
2000-10-02,10.88,10.94,10.81,10.88,93500,4.49
2000-09-29,10.94,11.00,10.81,10.94,158800,4.52
