Date;Last Price;Volume
06/27/14;;
06/26/14;;
06/25/14;;
06/24/14;93,79000092;705809
06/23/14;91,5;824017
06/20/14;92,55999756;2696673
06/19/14;92,66999817;1357245
06/18/14;91,41000366;1753546
06/17/14;90,75;1030298
06/16/14;90,93000031;858916
06/13/14;90,76000214;1287758
06/12/14;91,36000061;993840
06/11/14;91,73999786;901745
06/10/14;92,01999664;1179158
06/09/14;92,58000183;647395
06/06/14;92,87999725;1102585
06/05/14;92,76000214;1824330
06/04/14;91,26999664;1284077
06/03/14;92,01999664;1019484
06/02/14;91,48000336;1087656
05/30/14;92,08999634;878996
05/29/14;92,12999725;728236
05/28/14;91,36000061;1036264
05/27/14;91,76999664;1197488
05/26/14;91,26999664;938777
05/23/14;89,87999725;1029319
05/22/14;89,33999634;1134750
05/21/14;88,69999695;1178464
05/20/14;88;1068609
05/19/14;88,18000031;1613657
05/16/14;86,43000031;2413624
05/15/14;88,11000061;2526006
05/14/14;89,25;1295058
05/13/14;89,44999695;1701553
05/12/14;88,69999695;1627317
05/09/14;88,12000275;1190803
05/08/14;88,30000305;2225996
05/07/14;88,19000244;1650361
05/06/14;88,44000244;1754563
05/05/14;88,75;1402990
05/02/14;89,02999878;1167197
05/01/14;;
04/30/14;90,18000031;1164847
04/29/14;90,33999634;1196538
04/28/14;89,83999634;903623
04/25/14;89,55999756;1386902
04/24/14;91,45999908;1937576
04/23/14;92,68000031;1079207
04/22/14;94,01999664;1264123
04/21/14;;
04/18/14;;
04/17/14;92,12000275;1470764
04/16/14;90,41000366;1480554
04/15/14;88,19000244;1386384
04/14/14;90,13999939;1178870
04/11/14;90,20999908;1779345
04/10/14;90,51000214;1295717
04/09/14;91,29000092;1369298
04/08/14;91,41999817;1620318
04/07/14;91,83000183;1308552
04/04/14;93,84999847;991988
04/03/14;93,04000092;1419855
04/02/14;92,65000153;1574234
04/01/14;92,08999634;1633795
03/31/14;91,62000275;1587633
03/28/14;92,23000336;1592012
03/27/14;91,27999878;1504631
03/26/14;90,59999847;1849624
03/25/14;89,44999695;2225501
03/24/14;88,05999756;2127834
03/21/14;88,40000153;4090403
03/20/14;87,30000305;3438493
03/19/14;86,59999847;7355055
03/18/14;80,72000122;2035754
03/17/14;80,08000183;1557329
03/14/14;79,26000214;3007090
03/13/14;80,12000275;2966473
03/12/14;80,23999786;1525505
03/11/14;81,20999908;1194555
03/10/14;80,51999664;1579605
03/07/14;81,86000061;1807393
03/06/14;83,08000183;1470678
03/05/14;82,48000336;1496291
03/04/14;82,77999878;1937088
03/03/14;81,65000153;2223672
02/28/14;84,19999695;1542605
02/27/14;83,80000305;1626959
02/26/14;84,30999756;1466019
02/25/14;83,94999695;1569552
02/24/14;84,58999634;2029107
02/21/14;85,22000122;1236708
02/20/14;84,43000031;1671609
02/19/14;85;1202057
02/18/14;84,62000275;1702177
02/17/14;84,93000031;1193335
02/14/14;86;1495632
02/13/14;85,36000061;1323715
02/12/14;84,97000122;1564127
02/11/14;84,44999695;2127013
02/10/14;82;1562118
02/07/14;81,80000305;1567542
02/06/14;81,44000244;2804474
02/05/14;79,87999725;1726361
02/04/14;80,29000092;1882416
02/03/14;79,98999786;2267484
01/31/14;80,81999969;2293745
01/30/14;80,81999969;1722914
01/29/14;80,83000183;2668752
01/28/14;81,52999878;2214005
01/27/14;80,44000244;2596691
01/24/14;81,97000122;2827352
01/23/14;84,63999939;1679626
01/22/14;85,73000336;1081848
01/21/14;85,93000031;939655
01/20/14;86,12999725;834723
01/17/14;86,20999908;1779656
01/16/14;85,5;1371889
01/15/14;84,95999908;1541638
01/14/14;84,12000275;1071799
01/13/14;84,15000153;1077464
01/10/14;83,15000153;1964388
01/09/14;83,86000061;1297442
01/08/14;84,44999695;1435898
01/07/14;83,55000305;1231698
01/06/14;82,98999786;987242
01/03/14;83,98000336;826285
01/02/14;83,54000092;1499492
01/01/14;;
12/31/13;;
12/30/13;85,22000122;483820
12/27/13;85,41999817;805858
12/26/13;;
12/25/13;;
12/24/13;;
12/23/13;84,55000305;820037
12/20/13;83,98999786;2760556
12/19/13;83,38999939;1735613
12/18/13;82,13999939;1730612
12/17/13;80,44000244;947912
12/16/13;80,91999817;1543978
12/13/13;79,79000092;1081941
12/12/13;79,77999878;1856537
12/11/13;80,58000183;1174657
12/10/13;81,05000305;1213791
12/09/13;82,11000061;964346
12/06/13;82,13999939;1335002
12/05/13;81,58000183;1262632
12/04/13;82,54000092;1943799
12/03/13;83,51999664;1728503
12/02/13;85,11000061;914591
11/29/13;84,56999969;669232
11/28/13;84,73000336;605633
11/27/13;84,80000305;726384
11/26/13;84,31999969;993111
11/25/13;84,56999969;1363670
11/22/13;83,76999664;1104376
11/21/13;83,13999939;822598
11/20/13;83,27999878;775433
11/19/13;83,01999664;865345
11/18/13;83,19999695;1592756
11/15/13;81,55000305;2013462
11/14/13;81,59999847;1212672
11/13/13;80,95999908;1391905
11/12/13;81,54000092;1275324
11/11/13;82,06999969;759352
11/08/13;81,76999664;1915290
11/07/13;81,81999969;2408874
11/06/13;82,16000366;1471253
11/05/13;81,19999695;4387208
11/04/13;83,59999847;1149392
11/01/13;82,68000031;1064889
10/31/13;83,54000092;1819633
10/30/13;82,69000244;1344602
10/29/13;82,20999908;1308176
10/28/13;82,38999939;1436472
10/25/13;83,66000366;1532022
10/24/13;83,55999756;1693550
10/23/13;82;1194395
10/22/13;81,84999847;2065376
10/21/13;82,09999847;970188
10/18/13;82,02999878;2610280
10/17/13;81,94000244;1440792
10/16/13;82,19999695;1964131
10/15/13;82,94999695;2004212
10/14/13;80,62999725;582459
10/11/13;80,73999786;812135
10/10/13;80,37999725;1299252
10/09/13;78,80000305;995233
10/08/13;78,62000275;775005
10/07/13;79,16999817;970471
10/04/13;79,68000031;972099
10/03/13;79,55999756;689133
10/02/13;79,30000305;1540464
10/01/13;80,91000366;1270862
09/30/13;79,47000122;1008984
09/27/13;80,09999847;899253
09/26/13;79,72000122;1150771
09/25/13;80,37000275;1046931
09/24/13;80,80000305;1267055
09/23/13;80,30999756;1202686
09/20/13;80,47000122;3373707
09/19/13;81,44000244;2465833
09/18/13;80,05000305;1150457
09/17/13;80,18000031;1388096
09/16/13;80,58000183;1093485
09/13/13;79,90000153;944579
09/12/13;79,55000305;1293682
09/11/13;80;1338850
09/10/13;79,13999939;1817425
09/09/13;78,16999817;1659879
09/06/13;77,69999695;2179984
09/05/13;76,97000122;4185074
09/04/13;72,58999634;1088612
09/03/13;72,23000336;923654
09/02/13;72,76000214;865104
08/30/13;71,29000092;1419100
08/29/13;72,41000366;905077
08/28/13;71,75;1617948
08/27/13;73;1693824
08/26/13;75,41999817;490153
08/23/13;75,40000153;905294
08/22/13;75,18000031;1171987
08/21/13;73,69999695;809661
08/20/13;74,05000305;1266412
08/19/13;75,02999878;1437138
08/16/13;75,52999878;1884100
08/15/13;74,36000061;878118
08/14/13;74,40000153;1025436
08/13/13;73,97000122;1191423
08/12/13;73,16000366;1236766
08/09/13;72,30000305;1038734
08/08/13;71,68000031;1351383
08/07/13;70,63999939;1236720
08/06/13;71,37000275;1476202
08/05/13;72,18000031;1184499
08/02/13;72,48000336;1348017
08/01/13;73,01000214;2712042
07/31/13;73,58999634;1712495
07/30/13;74,44999695;1128919
07/29/13;73,97000122;1163554
07/26/13;74,16000366;1260879
07/25/13;74,04000092;1313389
07/24/13;73,86000061;1819482
07/23/13;72,40000153;958805
07/22/13;72,12999725;915232
07/19/13;72,23000336;1917855
07/18/13;72,01999664;1135065
07/17/13;71,26999664;1124583
07/16/13;71,09999847;1223807
07/15/13;70,86000061;734948
07/12/13;70,51999664;1459301
07/11/13;70,15000153;1452895
07/10/13;69;1131534
07/09/13;69,02999878;1738159
07/08/13;67,90000153;1515412
07/05/13;66,19999695;1774163
07/04/13;67,69999695;1587857
07/03/13;66,12000275;2288806
07/02/13;66,43000031;1969226
07/01/13;67,27999878;1628394
06/28/13;67,18000031;2225631
06/27/13;67,29000092;1823867
06/26/13;66,76999664;2244382
06/25/13;65,91999817;2845461
06/24/13;64,04000092;3551142
06/21/13;64,36000061;4351948
06/20/13;66,43000031;3679654
06/19/13;69,80000305;1540885
06/18/13;69,87000275;2013697
06/17/13;70,55000305;1455662
06/14/13;70,02999878;2168197
06/13/13;69,16000366;2019214
06/12/13;70,16000366;1851352
06/11/13;71,41000366;1591006
06/10/13;72,48999786;1244098
06/07/13;72,19999695;2182110
06/06/13;71,05000305;1831545
06/05/13;72,37999725;1411789
06/04/13;73,30000305;1365717
06/03/13;73,11000061;1658421
05/31/13;73,69000244;2009895
05/30/13;73,15000153;1432106
05/29/13;72,41999817;1748559
05/28/13;72,30999756;1437762
05/27/13;71,87999725;670305
05/24/13;70,87999725;1513236
05/23/13;71,48000336;2201417
05/22/13;73,34999847;1519202
05/21/13;73,83000183;1537029
05/20/13;74,01999664;1829185
05/17/13;71,93000031;2964272
05/16/13;71,40000153;1819197
05/15/13;71,93000031;2180800
05/14/13;73,30999756;3103309
05/13/13;72,08000183;1984624
05/10/13;71,83999634;2330640
05/09/13;71,06999969;873197
05/08/13;71,02999878;1721713
05/07/13;70,98000336;1694368
05/06/13;71,33000183;989178
05/03/13;72,12000275;2129704
05/02/13;70,73999786;3011882
05/01/13;;
04/30/13;70,05000305;1637370
04/29/13;69,86000061;1568487
04/26/13;68,62000275;1524785
04/25/13;68,88999939;1626319
04/24/13;67,83999634;2325262
04/23/13;66,77999878;2446173
04/22/13;65,23999786;1928576
04/19/13;64,83999634;2618329
04/18/13;63,93000031;2147021
04/17/13;65;2983725
04/16/13;66,86000061;1626339
04/15/13;66,44000244;1659154
04/12/13;67,40000153;2031612
04/11/13;69,02999878;1889763
