bmwDate,bmwLast Price,simensLast Price
06/24/14,93,98
06/23/14,91,98
06/20/14,92,100
06/19/14,92,99
06/18/14,91,98
06/17/14,90,99
06/16/14,90,98
06/13/14,90,98
06/12/14,91,98
06/11/14,91,98
06/10/14,92,99
06/09/14,92,99
06/06/14,92,99
06/05/14,92,98
06/04/14,91,97
06/03/14,92,97
06/02/14,91,97
05/30/14,92,97
05/29/14,92,97
05/28/14,91,98
05/27/14,91,97
05/26/14,91,97
05/23/14,89,96
05/22/14,89,95
05/21/14,88,94
05/20/14,88,94
05/19/14,88,95
05/16/14,86,96
05/15/14,88,96
05/14/14,89,98
05/13/14,89,99
05/12/14,88,98
05/09/14,88,96
05/08/14,88,96
05/07/14,88,95
05/06/14,88,93
05/05/14,88,94
05/02/14,89,94
04/30/14,90,95
04/29/14,90,94
04/28/14,89,93
04/25/14,89,95
04/24/14,91,97
04/23/14,92,97
04/22/14,94,99
04/17/14,92,97
04/16/14,90,96
04/15/14,88,94
04/14/14,90,96
04/11/14,90,96
04/10/14,90,97
04/09/14,91,98
04/08/14,91,98
04/07/14,91,97
04/04/14,93,99
04/03/14,93,98
04/02/14,92,98
04/01/14,92,98
03/31/14,91,97
03/28/14,92,98
03/27/14,91,97
03/26/14,90,97
03/25/14,89,97
03/24/14,88,95
03/21/14,88,97
03/20/14,87,96
03/19/14,86,94
03/18/14,80,94
03/17/14,80,93
03/14/14,79,90
03/13/14,80,89
03/12/14,80,90
03/11/14,81,92
03/10/14,80,91
03/07/14,81,92
03/06/14,83,95
03/05/14,82,95
03/04/14,82,95
03/03/14,81,92
02/28/14,84,96
02/27/14,83,96
02/26/14,84,96
02/25/14,83,96
02/24/14,84,95
02/21/14,85,94
02/20/14,84,95
02/19/14,85,95
02/18/14,84,94
02/17/14,84,95
02/14/14,86,95
02/13/14,85,94
02/12/14,84,94
02/11/14,84,94
02/10/14,82,93
02/07/14,81,93
02/06/14,81,92
02/05/14,79,92
02/04/14,80,91
02/03/14,79,92
01/31/14,80,93
01/30/14,80,94
01/29/14,80,94
01/28/14,81,98
01/27/14,80,97
01/24/14,81,96
01/23/14,84,97
01/22/14,85,98
01/21/14,85,99
01/20/14,86,100
01/17/14,86,100
01/16/14,85,100
01/15/14,84,101
01/14/14,84,98
01/13/14,84,98
01/10/14,83,97
01/09/14,83,97
01/08/14,84,98
01/07/14,83,99
01/06/14,82,99
01/03/14,83,99
01/02/14,83,98
12/30/13,85,99
12/27/13,85,100
12/23/13,84,99
12/20/13,83,98
12/19/13,83,97
12/18/13,82,95
12/17/13,80,94
12/16/13,80,96
12/13/13,79,93
12/12/13,79,93
12/11/13,80,93
12/10/13,81,94
12/09/13,82,94
12/06/13,82,94
12/05/13,81,93
12/04/13,82,94
12/03/13,83,95
12/02/13,85,97
11/29/13,84,97
11/28/13,84,98
11/27/13,84,98
11/26/13,84,97
11/25/13,84,97
11/22/13,83,96
11/21/13,83,95
11/20/13,83,96
11/19/13,83,96
11/18/13,83,96
11/15/13,81,96
11/14/13,81,96
11/13/13,80,95
11/12/13,81,94
11/11/13,82,95
11/08/13,81,95
11/07/13,81,95
11/06/13,82,92
11/05/13,81,92
