Date;Last Price;Volume;SMAVG (15)
28.09.2004;3882,27;78208432;88245968
27.09.2004;3874,37;60750796;87822648
24.09.2004;3910,3;64228128;87090144
23.09.2004;3905,66;92388072;88708600
22.09.2004;3942,35;133013384;87669944
21.09.2004;3991,02;90005288;84762896
20.09.2004;3977,68;68196128;84561864
17.09.2004;3988,07;149477392;82866144
16.09.2004;3963,65;78466192;77073864
15.09.2004;3941,75;100111944;77098600
14.09.2004;3947,75;87026616;75077288
13.09.2004;3953,31;85922080;74781104
10.09.2004;3886,03;75309376;73686544
09.09.2004;3851,22;87192656;72931256
08.09.2004;3884,16;73393096;72619224
07.09.2004;3889,04;71858616;72985344
06.09.2004;3887,58;49763136;74530672
03.09.2004;3866,99;88504992;76985864
02.09.2004;3833,45;76808256;78122872
01.09.2004;3817,62;89407672;81705072
31.08.2004;3785,21;86989760;82422456
30.08.2004;3838,85;42760328;81580808
27.08.2004;3851,18;62593184;84575832
26.08.2004;3832,28;78837312;88072664
25.08.2004;3788,88;69792296;88299440
24.08.2004;3771;82583776;89974456
23.08.2004;3772,14;69503736;89372552
20.08.2004;3712,61;63980068;89313112
19.08.2004;3722,99;82512168;90671352
18.08.2004;3726,5;78884800;92657496
17.08.2004;3705,73;95038536;94106736
16.08.2004;3699,11;86591024;93074832
13.08.2004;3646,99;105560160;92025024
12.08.2004;3658,11;130541224;89451344
11.08.2004;3678,91;100168432;86510832
10.08.2004;3720,64;74365040;86471792
09.08.2004;3690,33;87685672;88076952
06.08.2004;3727,74;115045760;87364216
05.08.2004;3829,03;82238928;85523376
04.08.2004;3823,74;94917520;85499056
03.08.2004;3877,32;73555248;85545432
02.08.2004;3862,71;68612144;85432552
30.07.2004;3895,61;84353672;85348568
29.07.2004;3889,68;112304320;85266800
28.07.2004;3807,21;100623416;84470192
27.07.2004;3814,08;79559976;83886272
26.07.2004;3752,59;70843888;83322696
23.07.2004;3797,33;66954864;80902864
22.07.2004;3801,05;86433624;81600152
21.07.2004;3877,48;99582856;82325080
20.07.2004;3837,6;98442368;80832320
19.07.2004;3812,63;76994608;79910488
16.07.2004;3845,93;87433176;80334536
15.07.2004;3847,19;81874152;78904760
14.07.2004;3898,84;95613216;79432688
13.07.2004;3903,88;71861968;78137656
12.07.2004;3893,24;67352376;79968456
09.07.2004;3924,49;83127216;80609000
08.07.2004;3934,48;100355136;85011336
07.07.2004;3930,58;91864656;83355432
06.07.2004;3944,88;71106280;82483976
05.07.2004;3995,73;34546500;83281424
02.07.2004;3998,77;77414096;86446992
01.07.2004;4035,02;97307648;84319312
30.06.2004;4052,73;77191448;81330296
29.06.2004;4069,73;84614888;81595480
28.06.2004;4069,35;83355296;81902288
25.06.2004;4013,35;65986508;81571440
24.06.2004;4007,05;89793072;83318016
23.06.2004;3945,1;76187736;82793472
22.06.2004;3928,39;99323936;83009360
21.06.2004;3989,31;76960552;80834472
18.06.2004;3999,79;149162240;76555416
17.06.2004;3985,46;75516656;71349416
16.06.2004;4003,24;78792760;72638232
15.06.2004;3987,3;83068032;72639968
14.06.2004;3948,65;82030024;72547744
11.06.2004;4014,56;45498940;71852664
10.06.2004;4021,64;52472360;74056200
09.06.2004;3997,76;81169160;74050752
08.06.2004;4018,95;89217104;76028104
07.06.2004;4017,81;78392488;76080736
04.06.2004;3961,93;92185184;78362696
03.06.2004;3917,08;81924848;78828872
02.06.2004;3888,31;79426144;80442840
01.06.2004;3864,18;66700536;81902816
31.05.2004;3921,41;12774706;83685016
28.05.2004;3902,72;71072288;91188680
27.05.2004;3913,33;94848856;95046384
26.05.2004;3867,52;78818832;97332816
25.05.2004;3828,07;81684648;98015856
24.05.2004;3867,84;71603920;97820192
21.05.2004;3831,84;78551888;97017952
20.05.2004;3839,32;52390712;98875032
19.05.2004;3872,26;110829408;105966248
18.05.2004;3789,24;90006536;106730976
17.05.2004;3754,37;112621880;106708504
14.05.2004;3803,1;99177840;104616864
13.05.2004;3824,93;106134448;106133968
12.05.2004;3776,24;101325720;107242896
11.05.2004;3849,84;93433504;108875848
10.05.2004;3784,61;125329744;108037640
07.05.2004;3895,64;128937816;103773208
06.05.2004;3909,46;129145288;101766840
05.05.2004;4022,1;89064488;98714312
04.05.2004;3990,75;78749680;100079032
03.05.2004;4007,65;59570300;100167320
30.04.2004;3985,21;106408136;101281912
29.04.2004;4008,91;158758928;100312816
28.04.2004;4065,74;122300392;97028432
27.04.2004;4134,1;89669440;95240656
